[ubuntuDockerWorker1] => mem: 0.0308 | hdd: 80% | timestamp: 1713946072.4997044 
[ubuntuDockerWorker3] => mem: 0.0198 | hdd: 77% | timestamp: 1713946074.7134945 
[ubuntuDockerWorker1] => mem: 0.0143 | hdd: 80% | timestamp: 1713946074.8678715 
[ubuntuDockerWorker2] => mem: 0.0724 | hdd: 80% | timestamp: 1713946074.95956 
[ubuntuDockerWorker3] => mem: 0.0042 | hdd: 77% | timestamp: 1713946076.9492178 
[ubuntuDockerWorker1] => mem: 0.0338 | hdd: 80% | timestamp: 1713946077.110014 
[ubuntuDockerWorker2] => mem: 0.0861 | hdd: 80% | timestamp: 1713946077.2342932 
[ubuntuDockerWorker3] => mem: 0.0062 | hdd: 77% | timestamp: 1713946079.0582445 
[ubuntuDockerWorker1] => mem: 0.0466 | hdd: 80% | timestamp: 1713946079.210374 
[ubuntuDockerWorker2] => mem: 0.0868 | hdd: 80% | timestamp: 1713946079.3265443 
[ubuntuDockerWorker3] => mem: 0.0071 | hdd: 77% | timestamp: 1713946080.9384012 
[ubuntuDockerWorker1] => mem: 0.0436 | hdd: 80% | timestamp: 1713946081.1635468 
[ubuntuDockerWorker2] => mem: 0.0791 | hdd: 80% | timestamp: 1713946081.3363185 
[ubuntuDockerWorker3] => mem: 0.0124 | hdd: 77% | timestamp: 1713946083.9647353 
[ubuntuDockerWorker1] => mem: 0.0394 | hdd: 80% | timestamp: 1713946083.9881241 
[ubuntuDockerWorker2] => mem: 0.0724 | hdd: 80% | timestamp: 1713946084.0048945 
[ubuntuDockerWorker3] => mem: 0.0234 | hdd: 77% | timestamp: 1713946085.214464 
[ubuntuDockerWorker2] => mem: 0.0783 | hdd: 80% | timestamp: 1713946085.4255848 
[ubuntuDockerWorker1] => mem: 0.0306 | hdd: 80% | timestamp: 1713946085.500439 
[ubuntuDockerWorker3] => mem: 0.0354 | hdd: 77% | timestamp: 1713946087.3721116 
[ubuntuDockerWorker2] => mem: 0.0883 | hdd: 80% | timestamp: 1713946087.5409515 
[ubuntuDockerWorker1] => mem: 0.0154 | hdd: 80% | timestamp: 1713946087.726092 
[ubuntuDockerWorker3] => mem: 0.0637 | hdd: 77% | timestamp: 1713946089.339887 
[ubuntuDockerWorker1] => mem: 0.0256 | hdd: 80% | timestamp: 1713946089.4074247 
