[ubuntuDockerWorker2] => mem: 0.0366 | hdd: 0.8 | timestamp: 1714042196.394239 
[ubuntuDockerWorker1] => mem: 0.0194 | hdd: 0.8 | timestamp: 1714042196.6459682 
[ubuntuDockerWorker3] => mem: 0.0347 | hdd: 0.78 | timestamp: 1714042198.3666804 
[ubuntuDockerWorker1] => mem: 0.0166 | hdd: 0.8 | timestamp: 1714042198.4086812 
[ubuntuDockerWorker2] => mem: 0.0409 | hdd: 0.8 | timestamp: 1714042198.4641318 
[ubuntuDockerWorker3] => mem: 0.0427 | hdd: 0.78 | timestamp: 1714042199.37545 
[ubuntuDockerWorker1] => mem: 0.0025 | hdd: 0.8 | timestamp: 1714042199.422679 
[ubuntuDockerWorker2] => mem: 0.0447 | hdd: 0.8 | timestamp: 1714042199.470933 
[ubuntuDockerWorker3] => mem: 0.0457 | hdd: 0.78 | timestamp: 1714042200.3897922 
[ubuntuDockerWorker1] => mem: 0.0053 | hdd: 0.8 | timestamp: 1714042200.4364905 
[ubuntuDockerWorker2] => mem: 0.0409 | hdd: 0.8 | timestamp: 1714042200.5174448 
[ubuntuDockerWorker3] => mem: 0.0464 | hdd: 0.78 | timestamp: 1714042201.3988557 
[ubuntuDockerWorker1] => mem: 0.011 | hdd: 0.8 | timestamp: 1714042201.467816 
[ubuntuDockerWorker2] => mem: 0.0381 | hdd: 0.8 | timestamp: 1714042201.5064209 
[ubuntuDockerWorker3] => mem: 0.0483 | hdd: 0.78 | timestamp: 1714042202.426378 
[ubuntuDockerWorker1] => mem: 0.011 | hdd: 0.8 | timestamp: 1714042202.4698465 
[ubuntuDockerWorker2] => mem: 0.0367 | hdd: 0.8 | timestamp: 1714042202.5172436 
[ubuntuDockerWorker3] => mem: 0.0512 | hdd: 0.78 | timestamp: 1714042203.415614 
[ubuntuDockerWorker1] => mem: 0.0101 | hdd: 0.8 | timestamp: 1714042203.4996045 
[ubuntuDockerWorker2] => mem: 0.0352 | hdd: 0.8 | timestamp: 1714042203.5432882 
[ubuntuDockerWorker3] => mem: 0.0532 | hdd: 0.78 | timestamp: 1714042204.5634625 
[ubuntuDockerWorker2] => mem: 0.0324 | hdd: 0.8 | timestamp: 1714042204.6296756 
[ubuntuDockerWorker1] => mem: 0.0151 | hdd: 0.8 | timestamp: 1714042204.6766717 
[ubuntuDockerWorker3] => mem: 0.0534 | hdd: 0.78 | timestamp: 1714042205.5609288 
[ubuntuDockerWorker2] => mem: 0.0211 | hdd: 0.8 | timestamp: 1714042205.6180341 
[ubuntuDockerWorker1] => mem: 0.0181 | hdd: 0.8 | timestamp: 1714042205.6939719 
[ubuntuDockerWorker3] => mem: 0.0556 | hdd: 0.78 | timestamp: 1714042206.5577815 
[ubuntuDockerWorker2] => mem: 0.0126 | hdd: 0.8 | timestamp: 1714042206.6391673 
[ubuntuDockerWorker1] => mem: 0.0229 | hdd: 0.8 | timestamp: 1714042206.67499 
[ubuntuDockerWorker3] => mem: 0.0597 | hdd: 0.78 | timestamp: 1714042207.5507238 
[ubuntuDockerWorker2] => mem: 0.014 | hdd: 0.8 | timestamp: 1714042207.5867338 
[ubuntuDockerWorker1] => mem: 0.0251 | hdd: 0.8 | timestamp: 1714042207.6275032 
[ubuntuDockerWorker3] => mem: 0.0602 | hdd: 0.78 | timestamp: 1714042208.6878967 
[ubuntuDockerWorker2] => mem: 0.0208 | hdd: 0.8 | timestamp: 1714042208.7444851 
[ubuntuDockerWorker1] => mem: 0.0223 | hdd: 0.8 | timestamp: 1714042208.7922757 
[ubuntuDockerWorker3] => mem: 0.0616 | hdd: 0.78 | timestamp: 1714042209.6927772 
[ubuntuDockerWorker2] => mem: 0.0211 | hdd: 0.8 | timestamp: 1714042209.739452 
[ubuntuDockerWorker1] => mem: 0.011 | hdd: 0.8 | timestamp: 1714042209.774636 
[ubuntuDockerWorker3] => mem: 0.0644 | hdd: 0.78 | timestamp: 1714042210.7003922 
[ubuntuDockerWorker2] => mem: 0.0197 | hdd: 0.8 | timestamp: 1714042210.7470982 
[ubuntuDockerWorker1] => mem: 0.0151 | hdd: 0.8 | timestamp: 1714042210.7946706 
[ubuntuDockerWorker3] => mem: 0.0661 | hdd: 0.78 | timestamp: 1714042212.6294606 
[ubuntuDockerWorker1] => mem: 0.0124 | hdd: 0.8 | timestamp: 1714042212.663678 
[ubuntuDockerWorker2] => mem: 0.0279 | hdd: 0.8 | timestamp: 1714042212.7165947 
[ubuntuDockerWorker3] => mem: 0.0661 | hdd: 0.78 | timestamp: 1714042213.7284741 
[ubuntuDockerWorker2] => mem: 0.0296 | hdd: 0.8 | timestamp: 1714042213.795564 
[ubuntuDockerWorker1] => mem: 0.0128 | hdd: 0.8 | timestamp: 1714042213.8449554 
[ubuntuDockerWorker3] => mem: 0.0647 | hdd: 0.78 | timestamp: 1714042214.727112 
[ubuntuDockerWorker2] => mem: 0.0295 | hdd: 0.8 | timestamp: 1714042214.7862453 
[ubuntuDockerWorker1] => mem: 0.0195 | hdd: 0.8 | timestamp: 1714042214.8655868 
[ubuntuDockerWorker3] => mem: 0.0589 | hdd: 0.78 | timestamp: 1714042216.6511207 
[ubuntuDockerWorker1] => mem: 0.021 | hdd: 0.8 | timestamp: 1714042216.6843786 
[ubuntuDockerWorker2] => mem: 0.0182 | hdd: 0.8 | timestamp: 1714042216.7410393 
[ubuntuDockerWorker2] => mem: 0.0211 | hdd: 0.8 | timestamp: 1714042217.7767723 
[ubuntuDockerWorker3] => mem: 0.0492 | hdd: 0.78 | timestamp: 1714042217.897974 
[ubuntuDockerWorker1] => mem: 0.0243 | hdd: 0.8 | timestamp: 1714042217.940583 
[ubuntuDockerWorker3] => mem: 0.0422 | hdd: 0.78 | timestamp: 1714042219.9708724 
