{'request_number': 442470, 'result': 37132, 'worker_start_time': 1739767873.592877, 'waiting_time': 129.92156624794006, 'start_process_time': 153209.25828628, 'real_process_time': 10.591882100998191, 'data_prepare_time': 4.582980182021856e-06, 'finish_time': 153219.850173589, 'user_cpu_time': 8.480000000000004, 'system_cpu_time': 0.010000000000000009, 'contention_time': 2.1018821009981874, 'cpu_spent_usage': 80.15572604608104, 'request_id': 24, 'predicted_processing_time': 13.70340347290039, 'waiting_jobs': 21, 'response_time': 139.987918800005}
{'request_number': 296654, 'result': 25741, 'worker_start_time': 1739767884.2913158, 'waiting_time': 140.72892832756042, 'start_process_time': 153219.956725038, 'real_process_time': 5.859078565001255, 'data_prepare_time': 4.061992513015866e-06, 'finish_time': 153225.815808291, 'user_cpu_time': 4.710000000000008, 'system_cpu_time': 0.0, 'contention_time': 1.149078565001247, 'cpu_spent_usage': 80.3880669587676, 'request_id': 23, 'predicted_processing_time': 7.481689929962158, 'waiting_jobs': 20, 'response_time': 145.8470884999988}
{'request_number': 95830, 'result': 9237, 'worker_start_time': 1739767890.2569904, 'waiting_time': 146.8033344745636, 'start_process_time': 153225.922399948, 'real_process_time': 1.1416682499984745, 'data_prepare_time': 4.063011147081852e-06, 'finish_time': 153227.064072937, 'user_cpu_time': 0.9200000000000017, 'system_cpu_time': 0.0, 'contention_time': 0.2216682499984728, 'cpu_spent_usage': 80.58382984735111, 'request_id': 22, 'predicted_processing_time': 1.6529028415679932, 'waiting_jobs': 19, 'response_time': 146.9862235000037}
{'request_number': 211086, 'result': 18899, 'worker_start_time': 1739767891.5051122, 'waiting_time': 148.15888905525208, 'start_process_time': 153227.17052147, 'real_process_time': 3.5460926520172507, 'data_prepare_time': 4.062021616846323e-06, 'finish_time': 153230.716618757, 'user_cpu_time': 2.8700000000000045, 'system_cpu_time': 0.0, 'contention_time': 0.6760926520172461, 'cpu_spent_usage': 80.9341515193451, 'request_id': 21, 'predicted_processing_time': 4.61251974105835, 'waiting_jobs': 18, 'response_time': 150.52778049999324}
{'request_number': 69615, 'result': 6905, 'worker_start_time': 1739767895.1575677, 'waiting_time': 151.92027473449707, 'start_process_time': 153230.822977134, 'real_process_time': 0.7315229620144237, 'data_prepare_time': 4.062021616846323e-06, 'finish_time': 153231.554504836, 'user_cpu_time': 0.5900000000000034, 'system_cpu_time': 0.0, 'contention_time': 0.14152296201442027, 'cpu_spent_usage': 80.65365417584393, 'request_id': 20, 'predicted_processing_time': 1.6529028415679932, 'waiting_jobs': 17, 'response_time': 151.25781880000432}        
{'request_number': 447765, 'result': 37538, 'worker_start_time': 1739767895.995608, 'waiting_time': 152.84958457946777, 'start_process_time': 153231.661017118, 'real_process_time': 10.753650148020824, 'data_prepare_time': 4.165980499237776e-06, 'finish_time': 153242.414672266, 'user_cpu_time': 8.63000000000001, 'system_cpu_time': 0.0, 'contention_time': 2.1236501480208148, 'cpu_spent_usage': 80.25182036992652, 'request_id': 19, 'predicted_processing_time': 16.54686164855957, 'waiting_jobs': 16, 'response_time': 162.00960200000554}
{'request_number': 484948, 'result': 40379, 'worker_start_time': 1739767906.8558972, 'waiting_time': 163.80820679664612, 'start_process_time': 153242.521306476, 'real_process_time': 12.102976107009454, 'data_prepare_time': 3.958004526793957e-06, 'finish_time': 153254.624287687, 'user_cpu_time': 9.710000000000008, 'system_cpu_time': 0.0, 'contention_time': 2.3929761070094457, 'cpu_spent_usage': 80.22820101558698, 'request_id': 18, 'predicted_processing_time': 15.276083946228027, 'waiting_jobs': 16, 'response_time': 174.11070389999077}        
{'request_number': 493927, 'result': 41062, 'worker_start_time': 1739767919.0837095, 'waiting_time': 176.2354519367218, 'start_process_time': 153254.749118647, 'real_process_time': 12.446619626978645, 'data_prepare_time': 3.958004526793957e-06, 'finish_time': 153267.195743222, 'user_cpu_time': 9.969999999999999, 'system_cpu_time': 0.0, 'contention_time': 2.4766196269786462, 'cpu_spent_usage': 80.10207027126904, 'request_id': 16, 'predicted_processing_time': 15.906598091125488, 'waiting_jobs': 14, 'response_time': 186.57346319999488}
{'request_number': 285460, 'result': 24875, 'worker_start_time': 1739767931.636929, 'waiting_time': 188.899733543396, 'start_process_time': 153267.302338317, 'real_process_time': 5.559572725993348, 'data_prepare_time': 4.1660096030682325e-06, 'finish_time': 153272.861915626, 'user_cpu_time': 4.4599999999999795, 'system_cpu_time': 0.010000000000000009, 'contention_time': 1.089572725993369, 'cpu_spent_usage': 80.40186216291126, 'request_id': 15, 'predicted_processing_time': 7.249504566192627, 'waiting_jobs': 13, 'response_time': 192.12930899999628}
{'request_number': 484029, 'result': 40319, 'worker_start_time': 1739767937.3030536, 'waiting_time': 194.67502880096436, 'start_process_time': 153272.968462752, 'real_process_time': 12.078585626994027, 'data_prepare_time': 4.218978574499488e-06, 'finish_time': 153285.047053118, 'user_cpu_time': 9.680000000000007, 'system_cpu_time': 0.0, 'contention_time': 2.39858562699402, 'cpu_spent_usage': 80.14183364620521, 'request_id': 14, 'predicted_processing_time': 15.276083946228027, 'waiting_jobs': 12, 'response_time': 204.20517480000854}
